Cat	SCat	IdProd	CodVen	Titolo	Descrizione	Peso	Prezzo	Listino	Iva	Marca	Disponibilita	DisponibilitaFutura	PrezzoPromo	DataInizioPromo	DataFinePromo	Ean	LinkImmagine	ProductID	NoDrop
Telefonia	Cordless	TCRTEALC0016	ATL1425376	Telefono Cordless Alcatel S280 Duo Black		0,66	23,9	32,77	22	Alcatel	30					3700601425376	https://www.erregame.com/P/D/D23CB4961B23410456000000000000000000000000000000.bmp/TCRTEALC0016.jpg	48877	0	
TV e Audio/Video	Accessori AV	ACCTVAMZ0004		Amazon Fire TV Stick 4k con Telecomando Vocale		0,34	33,9	57,36	22	Amazon	50					840268946616	https://www.erregame.com/P/D/8638F4DA1B7A410414000000000000000000000000000000.bmp/ACCTVAMZ0004.jpg	49363	0	
TV e Audio/Video	Accessori AV	ACCTVAMZ0007		Amazon Fire TV Stick 4k Max con Telecomando Vocale		0,3	43,9	65,56	22	Amazon	50					0840414647350	https://www.erregame.com/P/D/8638F4DA1B7A410417000000000000000000000000000000.bmp/ACCTVAMZ0007.jpg	50360	0	
TV e Audio/Video	Accessori AV	ACCTVAMZ0003		Amazon Fire TV Stick HD con Telecomando Vocale Alexa		0,34	24,5	36,87	22	Amazon	50					840414699953	https://www.erregame.com/P/D/8638F4DA1B7A410413000000000000000000000000000000.bmp/ACCTVAMZ0003.jpg	49328	0	
Informatica	Accessori PC	ACCPCAPP0056	MXN53ZM/A	Apple Alimentatore 70W USB-C MacBook MXN53ZM/A		0,24	45,9	53,2	22	Apple	1					195949686283	https://www.erregame.com/P/D/8638F08E1C30410556000000000000000000000000000000.bmp/ACCPCAPP0056.jpg	49530	0	
Informatica	Accessori PC	ACCPCAPP0051	MW2L3ZM/A	Apple Alimentatore 96W USB-C MacBook MX0J2ZM/A		0,41	59,9	69,59	22	Apple	13					195949376924	https://www.erregame.com/P/D/8638F08E1C30410551000000000000000000000000000000.bmp/ACCPCAPP0051.jpg	47577	0	
Informatica	Accessori PC	ACCSMAPP1022	MW613ZM/A	Apple Cavo di Ricarica USB-C a MagSafe3 2m MW613ZM/A		0,09	37,9	45	22	Apple	4					195949396489	https://www.erregame.com/P/D/8638F3B61C30450492000000000000000000000000000000.bmp/ACCSMAPP1022.jpg	49769	0	
Informatica	Accessori PC	ACCPCAPP0059	MMMQ3AM/A	Apple Magic Mouse2 (2021) Black EU MMMQ3AM/A		0,22	59,9	98,27	22	Apple	50					194252917824	https://www.erregame.com/P/D/8638F08E1C30410559000000000000000000000000000000.bmp/ACCPCAPP0059.jpg	50754	0	
Informatica	Accessori PC	ACCPCAPP0055	MXK93ZM/A	Apple Magic Trackpad (2024) Usb-C Silver EU MXK93ZM/A		0,35	95,9	110,57	22	Apple	3					195949654404	https://www.erregame.com/P/D/8638F08E1C30410555000000000000000000000000000000.bmp/ACCPCAPP0055.jpg	49404	0	
Informatica	Accessori Tablet	ACCSMAPP0815	MW2P3ZM/A	Apple Adattatore Lightning ad AV digitale (HDMI) MW2P3ZM/A		0,05	37,9	48,36	22	Apple	12					195949333002	https://www.erregame.com/P/D/8638F3B61C30418455000000000000000000000000000000.bmp/ACCSMAPP0815.jpg	47907	0	
Informatica	Accessori Tablet	ACCTBAPP0042	MYQW3ZM/A	Apple Pencil 1Gen per iPad +Adattatore USB-C MYQW3ZM/A		0,2	92,5	97,54	22	Apple	1					195949776175	https://www.erregame.com/P/D/8638F48A1C30410512000000000000000000000000000000.bmp/ACCTBAPP0042.jpg	51959	0	
Informatica	Accessori Tablet	ACCTBAPP0043	MXN43ZM/A	Apple Pencil 2Gen per iPad MXN43ZM/A		0,2	111,9	122,87	22	Apple	27					195949690457	https://www.erregame.com/P/D/8638F48A1C30410513000000000000000000000000000000.bmp/ACCTBAPP0043.jpg	51960	0	
Informatica	Accessori Tablet	ACCTBAPP0039	MUWA3ZM/A	Apple Pencil USB-C per iPad MUWA3ZM/A	<h3 style="color: red;">&nbsp;</h3><h3 style="color: red;"><span style="font-size: xx-large;">Per le compatibilit&agrave; sempre aggiornate&nbsp;</span></h3><h3 style="color: red;"><a href="https://support.apple.com/it-it/HT211029" target="Compatibilit&agrave; Apple Pencil"><span style="font-size: xx-large;">CLICCA QUI</span></a></h3><p>&nbsp;</p>	0,14	66,9	77,87	22	Apple	50					195949133695	https://www.erregame.com/P/D/{6AA593D8-1012-4853-B074-3EEFC6868C90}/ACCTBAPP0039.jpg	46093	0	
Informatica	Computer & Notebook	COMNBAPP0157	MRYU3T/A	Apple MacBook Air 2024 15" M3 8C/10G 8/256GB Midnight MRYU3T/A		3	699,9	1352,38	R17	Apple	50					195949131806	https://www.erregame.com/P/D/{8B9AD092-BE0B-4F00-89E2-7F882490D978}/COMNBAPP0157.jpg	46982	0	
Informatica	Computer & Notebook	COMNBAPP0156	MRYM3T/A	Apple MacBook Air 2024 15" M3 8C/10G 8/256GB S.Grey MRYM3T/A		3	699,9	1352,38	R17	Apple	28					195949128981	https://www.erregame.com/P/D/{C02AD921-7171-4AA6-AE7D-727341EF0E56}/COMNBAPP0156.jpg	46981	0	
Informatica	Computer & Notebook	COMNBAPP0158	MRYP3T/A	Apple MacBook Air 2024 15" M3 8C/10G 8/256GB Silver MRYP3T/A		3	699,9	1352,38	R17	Apple	7					195949129926	https://www.erregame.com/P/D/{E612F527-DA27-4E86-8D53-5F94D09E02ED}/COMNBAPP0158.jpg	46983	0	
Informatica	Computer & Notebook	COMNBAPP0159	MRYR3T/A	Apple MacBook Air 2024 15" M3 8C/10G 8/256GB Starlight MRYR3T/A		3	699,9	1352,38	R17	Apple	47					195949130861	https://www.erregame.com/P/D/8EFB6E8A1C30411559000000000000000000000000000000.bmp/COMNBAPP0159.jpg	46984	0	
Informatica	Computer & Notebook	COMNBAPP0161	MRYV3T/A	Apple MacBook Air 2024 15" M3 8C/10G 8/512GB Midnight MRYV3T/A		3	744,9	1540,9	R17	Apple	36					195949132278	https://www.erregame.com/P/D/8EFB6E8A1C30411591000000000000000000000000000000.bmp/COMNBAPP0161.jpg	46986	0	
Informatica	Computer & Notebook	COMNBAPP0160	MRYN3T/A	Apple MacBook Air 2024 15" M3 8C/10G 8/512GB S.Grey MRYN3T/A		3	744,9	1540,9	R17	Apple	26					195949129452	https://www.erregame.com/P/D/8EFB6E8A1C30411590000000000000000000000000000000.bmp/COMNBAPP0160.jpg	46985	0	
Informatica	Computer & Notebook	COMNBAPP0162	MRYQ3T/A	Apple MacBook Air 2024 15" M3 8C/10G 8/512GB Silver MRYQ3T/A		3	744,9	1540,9	R17	Apple	42					195949130397	https://www.erregame.com/P/D/8EFB6E8A1C30411592000000000000000000000000000000.bmp/COMNBAPP0162.jpg	46987	0	
Informatica	Computer & Notebook	COMNBAPP0163	MRYT3T/A	Apple MacBook Air 2024 15" M3 8C/10G 8/512GB Starlight MRYT3T/A		3	744,9	1540,9	R17	Apple	50					195949131332	https://www.erregame.com/P/D/8EFB6E8A1C30411593000000000000000000000000000000.bmp/COMNBAPP0163.jpg	46988	0	
Informatica	Computer & Notebook	COMNBAPP0229	MW133T/A	Apple MacBook Air 2025 13" M4 10C/10G 16/512GB Midnight MW133T/A		3,05	915,9	1228,68	R17	Apple	1					195949838712	https://www.erregame.com/P/D/8EFB6E8A1C30412499000000000000000000000000000000.bmp/COMNBAPP0229.jpg	49943	0	
Informatica	Computer & Notebook	COMNBAPP0219	MC6U4T/A	Apple MacBook Air 2025 13" M4 10C/10G 16/512GB Sky Blue MC6U4T/A		3,05	915,9	1228,68	R17	Apple	2					195949890840	https://www.erregame.com/P/D/8EFB6E8A1C30412459000000000000000000000000000000.bmp/COMNBAPP0219.jpg	49933	0	
